"mouse","session","nnID","stim_pair","A","B","delay","delayB","delayA"
"2022-02-11","21-16-17","1","(('C', '-4'), ('H', '2'))","C_023460_semitone_-4","H_023460_semitone_2","10",10,0
"2022-02-11","21-16-17","1","(('A', '0'), ('F', '-6'))","F_098580_semitone_-6","A_098580_semitone_0","5",5,0
"2022-02-11","21-16-17","1","(('B', '2'), ('D', '-4'))","B_051680_semitone_2","D_051680_semitone_-4","0",0,0
"2022-02-11","21-16-17","1","(('E', '-6'), ('G', '6'))","G_014310_semitone_6","E_014310_semitone_-6","5",5,0
"2022-02-11","21-16-17","2","(('B', '2'), ('D', '-4'))","D_051680_semitone_-4","B_051680_semitone_2","5",5,0
"2022-02-22","19-03-37","3","AI","A_015380","I_098960","20",20,0
"2022-02-22","19-03-37","3","BH","B_093840","H_023900","-20",0,20
"2022-02-22","19-03-37","3","CG","C_110710","G_014740","20",20,0
"2022-02-22","21-54-16","3","(('Y', '-6'), ('Z', '6'))","Z_094200_semitone_6","Y_098850_semitone_-6","20",20,0
"2022-02-22","19-03-37","4","AI","A_015380","I_098960","0",0,0
"2022-02-22","19-03-37","4","BH","B_093840","H_023900","-20",0,20
"2022-02-22","19-03-37","4","CG","C_110710","G_014740","10",10,0
"2022-02-22","21-54-16","4","(('Y', '-6'), ('Z', '6'))","Z_094200_semitone_6","Y_098850_semitone_-6","-10",0,10
"2022-02-22","21-54-16","4","(('E', '-6'), ('F', '6'))","E_009590_semitone_-6","F_073660_semitone_6","-20",0,20
"2022-02-22","19-03-37","5","AI","A_015380","I_098960","0",0,0
"2022-02-22","19-03-37","5","BH","B_093840","H_023900","-20",0,20
"2022-02-22","21-54-16","5","(('Y', '-6'), ('Z', '6'))","Z_094200_semitone_6","Y_098850_semitone_-6","-20",0,20
"2022-02-22","21-54-16","5","(('J', '-6'), ('X', '6'))","X_090180_semitone_6","J_094200_semitone_-6","0",0,0
"2022-02-22","21-54-16","6","(('Y', '-6'), ('Z', '6'))","Z_094200_semitone_6","Y_098850_semitone_-6","0",0,0
